agent_action;agent_location;human_action;human_location;world_nr;tick_nr
RemoveObject;(24, 17);;(13, 10);1;266
RemoveObject;(24, 17);;(13, 10);1;267
RemoveObject;(24, 17);;(13, 10);1;268
RemoveObject;(24, 17);;(13, 10);1;269
RemoveObject;(24, 17);;(13, 10);1;270
RemoveObject;(24, 17);;(13, 10);1;271
RemoveObject;(24, 17);;(13, 10);1;272
RemoveObject;(24, 17);;(13, 10);1;273
RemoveObject;(24, 17);;(13, 10);1;274
RemoveObject;(24, 17);;(13, 10);1;275
RemoveObject;(24, 17);;(13, 10);1;276
RemoveObject;(24, 17);;(13, 10);1;277
RemoveObject;(24, 17);;(13, 10);1;278
RemoveObject;(24, 17);;(13, 10);1;279
RemoveObject;(24, 17);;(13, 10);1;280
RemoveObject;(24, 17);;(13, 10);1;281
RemoveObject;(24, 17);;(13, 10);1;282
RemoveObject;(24, 17);;(13, 10);1;283
RemoveObject;(24, 17);;(13, 10);1;284
RemoveObject;(24, 17);;(13, 10);1;285
RemoveObject;(24, 17);;(13, 10);1;286
RemoveObject;(24, 17);;(13, 10);1;287
RemoveObject;(24, 17);;(13, 10);1;288
RemoveObject;(24, 17);;(13, 10);1;289
RemoveObject;(24, 17);MoveNorth;(13, 10);1;290
RemoveObject;(24, 17);MoveNorth;(13, 9);1;291
RemoveObject;(24, 17);;(13, 9);1;292
RemoveObject;(24, 17);MoveNorth;(13, 9);1;293
RemoveObject;(24, 17);MoveNorth;(13, 8);1;294
RemoveObject;(24, 17);;(13, 8);1;295
RemoveObject;(24, 17);MoveNorth;(13, 8);1;296
RemoveObject;(24, 17);MoveNorth;(13, 7);1;297
RemoveObject;(24, 17);;(13, 7);1;298
RemoveObject;(24, 17);;(13, 7);1;299
RemoveObject;(24, 17);;(13, 7);1;300
RemoveObject;(24, 17);MoveEast;(13, 7);1;301
RemoveObject;(24, 17);MoveEast;(14, 7);1;302
;(24, 17);;(14, 7);1;303
MoveSouth;(24, 18);MoveEast;(14, 7);1;304
MoveSouthWest;(23, 19);MoveEast;(15, 7);1;305
;(23, 19);;(15, 7);1;306
MoveSouthEast;(24, 20);;(15, 7);1;307
;(24, 20);MoveEast;(15, 7);1;308
MoveNorthEast;(25, 19);MoveEast;(16, 7);1;309
;(25, 19);;(16, 7);1;310
MoveSouthEast;(26, 20);MoveEast;(16, 7);1;311
;(26, 20);MoveEast;(17, 7);1;312
;(26, 20);;(17, 7);1;313
MoveWest;(26, 20);;(17, 7);1;314
MoveWest;(26, 20);;(17, 7);1;315
MoveWest;(26, 20);;(17, 7);1;316
MoveWest;(26, 20);;(17, 7);1;317
MoveWest;(26, 20);;(17, 7);1;318
MoveWest;(25, 20);;(17, 7);1;319
;(25, 20);;(17, 7);1;320
;(25, 20);MoveWest;(17, 7);1;321
;(25, 20);MoveWest;(16, 7);1;322
;(25, 20);;(16, 7);1;323
;(25, 20);RemoveObject;(16, 7);1;324
;(25, 20);RemoveObject;(16, 7);1;325
;(25, 20);RemoveObject;(16, 7);1;326
;(25, 20);RemoveObject;(16, 7);1;327
;(25, 20);RemoveObject;(16, 7);1;328
;(25, 20);RemoveObject;(16, 7);1;329
;(25, 20);RemoveObject;(16, 7);1;330
;(25, 20);RemoveObject;(16, 7);1;331
;(25, 20);RemoveObject;(16, 7);1;332
;(25, 20);RemoveObject;(16, 7);1;333
;(25, 20);RemoveObject;(16, 7);1;334
;(25, 20);RemoveObject;(16, 7);1;335
;(25, 20);RemoveObject;(16, 7);1;336
;(25, 20);RemoveObject;(16, 7);1;337
;(25, 20);RemoveObject;(16, 7);1;338
;(25, 20);RemoveObject;(16, 7);1;339
;(25, 20);RemoveObject;(16, 7);1;340
;(25, 20);RemoveObject;(16, 7);1;341
;(25, 20);RemoveObject;(16, 7);1;342
;(25, 20);RemoveObject;(16, 7);1;343
;(25, 20);RemoveObject;(16, 7);1;344
;(25, 20);RemoveObject;(16, 7);1;345
;(25, 20);RemoveObject;(16, 7);1;346
;(25, 20);RemoveObject;(16, 7);1;347
;(25, 20);RemoveObject;(16, 7);1;348
;(25, 20);RemoveObject;(16, 7);1;349
;(25, 20);RemoveObject;(16, 7);1;350
;(25, 20);RemoveObject;(16, 7);1;351
;(25, 20);RemoveObject;(16, 7);1;352
;(25, 20);RemoveObject;(16, 7);1;353
;(25, 20);RemoveObject;(16, 7);1;354
;(25, 20);RemoveObject;(16, 7);1;355
;(25, 20);RemoveObject;(16, 7);1;356
;(25, 20);RemoveObject;(16, 7);1;357
;(25, 20);RemoveObject;(16, 7);1;358
;(25, 20);RemoveObject;(16, 7);1;359
;(25, 20);RemoveObject;(16, 7);1;360
;(25, 20);RemoveObject;(16, 7);1;361
;(25, 20);RemoveObject;(16, 7);1;362
GrabObject;(25, 20);RemoveObject;(16, 7);1;363
GrabObject;(25, 20);RemoveObject;(16, 7);1;364
GrabObject;(25, 20);RemoveObject;(16, 7);1;365
GrabObject;(25, 20);RemoveObject;(16, 7);1;366
GrabObject;(25, 20);RemoveObject;(16, 7);1;367
GrabObject;(25, 20);RemoveObject;(16, 7);1;368
GrabObject;(25, 20);RemoveObject;(16, 7);1;369
GrabObject;(25, 20);RemoveObject;(16, 7);1;370
GrabObject;(25, 20);RemoveObject;(16, 7);1;371
GrabObject;(25, 20);RemoveObject;(16, 7);1;372
GrabObject;(25, 20);RemoveObject;(16, 7);1;373
GrabObject;(25, 20);RemoveObject;(16, 7);1;374
GrabObject;(25, 20);RemoveObject;(16, 7);1;375
GrabObject;(25, 20);RemoveObject;(16, 7);1;376
GrabObject;(25, 20);RemoveObject;(16, 7);1;377
GrabObject;(25, 20);RemoveObject;(16, 7);1;378
GrabObject;(25, 20);RemoveObject;(16, 7);1;379
GrabObject;(25, 20);RemoveObject;(16, 7);1;380
GrabObject;(25, 20);RemoveObject;(16, 7);1;381
GrabObject;(25, 20);RemoveObject;(16, 7);1;382
GrabObject;(25, 20);RemoveObject;(16, 7);1;383
GrabObject;(25, 20);RemoveObject;(16, 7);1;384
GrabObject;(25, 20);RemoveObject;(16, 7);1;385
GrabObject;(25, 20);RemoveObject;(16, 7);1;386
GrabObject;(25, 20);RemoveObject;(16, 7);1;387
GrabObject;(25, 20);RemoveObject;(16, 7);1;388
GrabObject;(25, 20);RemoveObject;(16, 7);1;389
GrabObject;(25, 20);RemoveObject;(16, 7);1;390
GrabObject;(25, 20);RemoveObject;(16, 7);1;391
GrabObject;(25, 20);RemoveObject;(16, 7);1;392
GrabObject;(25, 20);RemoveObject;(16, 7);1;393
GrabObject;(25, 20);RemoveObject;(16, 7);1;394
GrabObject;(25, 20);RemoveObject;(16, 7);1;395
GrabObject;(25, 20);RemoveObject;(16, 7);1;396
GrabObject;(25, 20);RemoveObject;(16, 7);1;397
GrabObject;(25, 20);RemoveObject;(16, 7);1;398
GrabObject;(25, 20);RemoveObject;(16, 7);1;399
GrabObject;(25, 20);RemoveObject;(16, 7);1;400
GrabObject;(25, 20);RemoveObject;(16, 7);1;401
GrabObject;(25, 20);RemoveObject;(16, 7);1;402
GrabObject;(25, 20);RemoveObject;(16, 7);1;403
GrabObject;(25, 20);RemoveObject;(16, 7);1;404
GrabObject;(25, 20);RemoveObject;(16, 7);1;405
GrabObject;(25, 20);RemoveObject;(16, 7);1;406
GrabObject;(25, 20);RemoveObject;(16, 7);1;407
GrabObject;(25, 20);RemoveObject;(16, 7);1;408
GrabObject;(25, 20);RemoveObject;(16, 7);1;409
GrabObject;(25, 20);RemoveObject;(16, 7);1;410
GrabObject;(25, 20);RemoveObject;(16, 7);1;411
GrabObject;(25, 20);RemoveObject;(16, 7);1;412
GrabObject;(25, 20);RemoveObject;(16, 7);1;413
GrabObject;(25, 20);RemoveObject;(16, 7);1;414
GrabObject;(25, 20);RemoveObject;(16, 7);1;415
GrabObject;(25, 20);RemoveObject;(16, 7);1;416
GrabObject;(25, 20);RemoveObject;(16, 7);1;417
GrabObject;(25, 20);RemoveObject;(16, 7);1;418
GrabObject;(25, 20);RemoveObject;(16, 7);1;419
GrabObject;(25, 20);RemoveObject;(16, 7);1;420
GrabObject;(25, 20);RemoveObject;(16, 7);1;421
GrabObject;(25, 20);RemoveObject;(16, 7);1;422
GrabObject;(25, 20);RemoveObject;(16, 7);1;423
GrabObject;(25, 20);RemoveObject;(16, 7);1;424
GrabObject;(25, 20);;(16, 7);1;425
GrabObject;(25, 20);;(16, 7);1;426
GrabObject;(25, 20);;(16, 7);1;427
GrabObject;(25, 20);;(16, 7);1;428
GrabObject;(25, 20);;(16, 7);1;429
GrabObject;(25, 20);;(16, 7);1;430
GrabObject;(25, 20);;(16, 7);1;431
GrabObject;(25, 20);;(16, 7);1;432
GrabObject;(25, 20);;(16, 7);1;433
GrabObject;(25, 20);;(16, 7);1;434
GrabObject;(25, 20);;(16, 7);1;435
GrabObject;(25, 20);;(16, 7);1;436
GrabObject;(25, 20);;(16, 7);1;437
GrabObject;(25, 20);;(16, 7);1;438
GrabObject;(25, 20);;(16, 7);1;439
GrabObject;(25, 20);;(16, 7);1;440
GrabObject;(25, 20);;(16, 7);1;441
GrabObject;(25, 20);;(16, 7);1;442
GrabObject;(25, 20);;(16, 7);1;443
GrabObject;(25, 20);;(16, 7);1;444
GrabObject;(25, 20);;(16, 7);1;445
GrabObject;(25, 20);;(16, 7);1;446
GrabObject;(25, 20);;(16, 7);1;447
GrabObject;(25, 20);;(16, 7);1;448
GrabObject;(25, 20);MoveSouth;(16, 7);1;449
GrabObject;(25, 20);MoveSouth;(16, 8);1;450
GrabObject;(25, 20);;(16, 8);1;451
GrabObject;(25, 20);MoveSouth;(16, 8);1;452
GrabObject;(25, 20);MoveSouth;(16, 9);1;453
GrabObject;(25, 20);MoveSouth;(16, 9);1;454
GrabObject;(25, 20);MoveSouth;(16, 10);1;455
GrabObject;(25, 20);;(16, 10);1;456
GrabObject;(25, 20);;(16, 10);1;457
GrabObject;(25, 20);;(16, 10);1;458
GrabObject;(25, 20);;(16, 10);1;459
GrabObject;(25, 20);;(16, 10);1;460
GrabObject;(25, 20);;(16, 10);1;461
GrabObject;(25, 20);;(16, 10);1;462
GrabObject;(25, 20);;(16, 10);1;463
MoveNorth;(25, 20);;(16, 10);1;464
MoveNorth;(25, 20);;(16, 10);1;465
MoveNorth;(25, 20);;(16, 10);1;466
MoveNorth;(25, 20);;(16, 10);1;467
MoveNorth;(25, 20);;(16, 10);1;468
MoveNorth;(25, 19);;(16, 10);1;469
MoveNorthWest;(25, 19);;(16, 10);1;470
MoveNorthWest;(25, 19);;(16, 10);1;471
MoveNorthWest;(25, 19);;(16, 10);1;472
MoveNorthWest;(25, 19);;(16, 10);1;473
MoveNorthWest;(25, 19);;(16, 10);1;474
MoveNorthWest;(24, 18);;(16, 10);1;475
MoveNorthWest;(24, 18);;(16, 10);1;476
MoveNorthWest;(24, 18);;(16, 10);1;477
MoveNorthWest;(24, 18);;(16, 10);1;478
MoveNorthWest;(24, 18);;(16, 10);1;479
MoveNorthWest;(24, 18);;(16, 10);1;480
MoveNorthWest;(23, 17);;(16, 10);1;481
MoveWest;(23, 17);;(16, 10);1;482
MoveWest;(23, 17);;(16, 10);1;483
MoveWest;(23, 17);;(16, 10);1;484
MoveWest;(23, 17);;(16, 10);1;485
MoveWest;(23, 17);;(16, 10);1;486
MoveWest;(22, 17);;(16, 10);1;487
MoveSouthWest;(22, 17);;(16, 10);1;488
MoveSouthWest;(22, 17);;(16, 10);1;489
MoveSouthWest;(22, 17);CarryObject;(16, 10);1;490
MoveSouthWest;(22, 17);CarryObject;(16, 10);1;491
MoveSouthWest;(22, 17);CarryObject;(16, 10);1;492
MoveSouthWest;(21, 18);CarryObject;(16, 10);1;493
MoveSouth;(21, 18);CarryObject;(16, 10);1;494
MoveSouth;(21, 18);CarryObject;(16, 10);1;495
MoveSouth;(21, 18);CarryObject;(16, 10);1;496
MoveSouth;(21, 18);CarryObject;(16, 10);1;497
MoveSouth;(21, 18);CarryObject;(16, 10);1;498
MoveSouth;(21, 19);CarryObject;(16, 10);1;499
MoveSouth;(21, 19);CarryObject;(16, 10);1;500
MoveSouth;(21, 19);CarryObject;(16, 10);1;501
MoveSouth;(21, 19);CarryObject;(16, 10);1;502
MoveSouth;(21, 19);CarryObject;(16, 10);1;503
MoveSouth;(21, 19);CarryObject;(16, 10);1;504
MoveSouth;(21, 20);CarryObject;(16, 10);1;505
MoveSouth;(21, 20);CarryObject;(16, 10);1;506
MoveSouth;(21, 20);CarryObject;(16, 10);1;507
MoveSouth;(21, 20);CarryObject;(16, 10);1;508
MoveSouth;(21, 20);CarryObject;(16, 10);1;509
MoveSouth;(21, 20);CarryObject;(16, 10);1;510
MoveSouth;(21, 21);CarryObject;(16, 10);1;511
MoveSouthWest;(21, 21);CarryObject;(16, 10);1;512
MoveSouthWest;(21, 21);CarryObject;(16, 10);1;513
MoveSouthWest;(21, 21);CarryObject;(16, 10);1;514
MoveSouthWest;(21, 21);CarryObject;(16, 10);1;515
MoveSouthWest;(21, 21);CarryObject;(16, 10);1;516
MoveSouthWest;(20, 22);CarryObject;(16, 10);1;517
MoveSouthWest;(20, 22);CarryObject;(16, 10);1;518
MoveSouthWest;(20, 22);CarryObject;(16, 10);1;519
MoveSouthWest;(20, 22);CarryObject;(16, 10);1;520
MoveSouthWest;(20, 22);CarryObject;(16, 10);1;521
MoveSouthWest;(20, 22);CarryObject;(16, 10);1;522
MoveSouthWest;(19, 23);CarryObject;(16, 10);1;523
MoveSouthWest;(19, 23);CarryObject;(16, 10);1;524
MoveSouthWest;(19, 23);CarryObject;(16, 10);1;525
MoveSouthWest;(19, 23);CarryObject;(16, 10);1;526
MoveSouthWest;(19, 23);CarryObject;(16, 10);1;527
MoveSouthWest;(19, 23);CarryObject;(16, 10);1;528
MoveSouthWest;(18, 24);CarryObject;(16, 10);1;529
MoveSouthEast;(18, 24);CarryObject;(16, 10);1;530
MoveSouthEast;(18, 24);CarryObject;(16, 10);1;531
MoveSouthEast;(18, 24);CarryObject;(16, 10);1;532
MoveSouthEast;(18, 24);CarryObject;(16, 10);1;533
MoveSouthEast;(18, 24);CarryObject;(16, 10);1;534
MoveSouthEast;(19, 25);CarryObject;(16, 10);1;535
MoveEast;(19, 25);CarryObject;(16, 10);1;536
MoveEast;(19, 25);CarryObject;(16, 10);1;537
MoveEast;(19, 25);CarryObject;(16, 10);1;538
MoveEast;(19, 25);CarryObject;(16, 10);1;539
MoveEast;(19, 25);CarryObject;(16, 10);1;540
MoveEast;(20, 25);CarryObject;(16, 10);1;541
MoveEast;(20, 25);CarryObject;(16, 10);1;542
MoveEast;(20, 25);CarryObject;(16, 10);1;543
MoveEast;(20, 25);CarryObject;(16, 10);1;544
MoveEast;(20, 25);CarryObject;(16, 10);1;545
MoveEast;(20, 25);CarryObject;(16, 10);1;546
MoveEast;(21, 25);CarryObject;(16, 10);1;547
MoveSouthEast;(21, 25);CarryObject;(16, 10);1;548
MoveSouthEast;(21, 25);CarryObject;(16, 10);1;549
MoveSouthEast;(21, 25);CarryObject;(16, 10);1;550
MoveSouthEast;(21, 25);CarryObject;(16, 10);1;551
MoveSouthEast;(21, 25);CarryObject;(16, 10);1;552
MoveSouthEast;(22, 26);CarryObject;(16, 10);1;553
MoveEast;(22, 26);CarryObject;(16, 10);1;554
MoveEast;(22, 26);CarryObject;(16, 10);1;555
MoveEast;(22, 26);CarryObject;(16, 10);1;556
MoveEast;(22, 26);CarryObject;(16, 10);1;557
MoveEast;(22, 26);CarryObject;(16, 10);1;558
MoveEast;(23, 26);CarryObject;(16, 10);1;559
MoveEast;(23, 26);CarryObject;(16, 10);1;560
MoveEast;(23, 26);CarryObject;(16, 10);1;561
MoveEast;(23, 26);CarryObject;(16, 10);1;562
MoveEast;(23, 26);CarryObject;(16, 10);1;563
MoveEast;(23, 26);CarryObject;(16, 10);1;564
